"SAEXP2 Per capita personal consumption expenditures (PCE) by state 1/"
"Per capita personal consumption expenditures (PCE) by state (Dollars)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"53000","Washington",21085,22925,24373,26015,26399,27055,28271,29900,31495,33051,34578,35221,34362,34935,36184,37392,38314,39709,41190,42554,44377
"Legend / Footnotes:"
"1/ Per capita PCE estimates are in current dollars, and reflect Census Bureau midyear population estimates for years 2010-2017 available as of December 2017. Per capita values are computed from unrounded data."
"Last updated: October 4, 2018; new PCE by state statistics for 2017, and revised statistics for 1997-2016."
